;;;DESVIO DO CARREGAMENTO;;;;;;;;;;;
Data;Hora;Pazeiro;;Vagão;Dieta;Nro Carregamento;;Ingrediente;Tipo Ingrediente;Carregado (kg);Previsto (kg);Desvio (kg);Desvio (%);Status
14/09/2025;16:15:01;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;Pré-Mistura;Pré-Mistura;227,68629;208;19,68629;9,47%;VERMELHO
14/09/2025;15:29:41;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Pré-Mistura;Pré-Mistura;346,12099;346;0,12099;0,04%;VERDE
14/09/2025;14:46:13;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Pré-Mistura;Pré-Mistura;359,1088;354;5,1088;1,44%;VERDE
14/09/2025;14:03:33;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
14/09/2025;13:22:39;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Pré-Mistura;Pré-Mistura;417,23482;412;5,23482;1,27%;VERDE
14/09/2025;10:58:43;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;7;;Pré-Mistura;Pré-Mistura;220,386;220;0,386;0,18%;VERDE
14/09/2025;10:13:47;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
14/09/2025;09:34:49;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Pré-Mistura;Pré-Mistura;417,23482;412;5,23482;1,27%;VERDE
14/09/2025;08:55:55;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
14/09/2025;08:11:09;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;3;;Pré-Mistura;Pré-Mistura;293,848;294;0,152;-0,05%;VERDE
14/09/2025;07:21:41;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
14/09/2025;06:16:51;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
13/09/2025;17:01:12;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;Pré-Mistura;Pré-Mistura;180,71652;180;0,71652;0,40%;VERDE
13/09/2025;16:12:31;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Pré-Mistura;Pré-Mistura;354,54317;354;0,54317;0,15%;VERDE
13/09/2025;15:22:28;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Pré-Mistura;Pré-Mistura;380,85084;381;0,14916;-0,04%;VERDE
13/09/2025;14:35:49;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
13/09/2025;13:57:41;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;8;;Pré-Mistura;Pré-Mistura;165,2895;165;0,2895;0,18%;VERDE
13/09/2025;13:19:20;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Pré-Mistura;Pré-Mistura;417,23482;412;5,23482;1,27%;VERDE
13/09/2025;11:24:39;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
13/09/2025;10:45:36;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Pré-Mistura;Pré-Mistura;417,23482;412;5,23482;1,27%;VERDE
13/09/2025;10:03:26;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
13/09/2025;08:37:33;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;3;;Pré-Mistura;Pré-Mistura;293,848;294;0,152;-0,05%;VERDE
13/09/2025;07:46:42;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;2;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
13/09/2025;06:17:16;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;1;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
12/09/2025;16:22:08;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;7;;Pré-Mistura;Pré-Mistura;203,483;108,72376;94,75924;87,16%;PRETO
12/09/2025;16:20:41;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;10;;Pré-Mistura;Pré-Mistura;104,66837;105;0,33163;-0,32%;VERDE
12/09/2025;15:35:59;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Pré-Mistura;Pré-Mistura;417,23482;412;5,23482;1,27%;VERDE
12/09/2025;14:53:39;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Pré-Mistura;Pré-Mistura;417,23482;412;5,23482;1,27%;VERDE
12/09/2025;14:03:12;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
12/09/2025;13:21:31;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;6;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
12/09/2025;10:59:19;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;Pré-Mistura;Pré-Mistura;141,92659;147;5,07341;-3,45%;AMARELO
12/09/2025;09:50:44;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
12/09/2025;08:55:19;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
12/09/2025;08:17:38;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;Pré-Mistura;Pré-Mistura;407,22918;412,232;5,00282;-1,21%;VERDE
12/09/2025;07:49:45;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;2;;Pré-Mistura;Pré-Mistura;220,386;220;0,386;0,18%;VERDE
12/09/2025;07:23:49;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Pré-Mistura;Pré-Mistura;407,22918;412;4,77082;-1,16%;VERDE
12/09/2025;06:18:14;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Pré-Mistura;Pré-Mistura;247,74389;247;0,74389;0,30%;VERDE
12/09/2025;06:11:38;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;Pré-Mistura;Pré-Mistura;220,386;220;0,386;0,18%;VERDE
11/09/2025;18:56:21;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;11;;Pré-Mistura;Pré-Mistura;72,65392;72,65392;0;0,00%;VERDE
11/09/2025;16:45:59;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
11/09/2025;16:25:01;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;Pré-Mistura;Pré-Mistura;209,69728;210;0,30272;-0,14%;VERDE
11/09/2025;15:50:19;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;9;;Pré-Mistura;Pré-Mistura;404,97475;405;0,02525;-0,01%;VERDE
11/09/2025;14:44:12;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
11/09/2025;14:01:28;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
11/09/2025;13:25:54;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Pré-Mistura;Pré-Mistura;218,1648;218;0,1648;0,08%;VERDE
11/09/2025;10:49:46;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Pré-Mistura;Pré-Mistura;407,22918;412,232;5,00282;-1,21%;VERDE
11/09/2025;08:54:11;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Pré-Mistura;Pré-Mistura;407,22918;412;4,77082;-1,16%;VERDE
11/09/2025;08:05:05;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;3;;Pré-Mistura;Pré-Mistura;253,37558;253;0,37558;0,15%;VERDE
11/09/2025;07:38:34;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;2;;Pré-Mistura;Pré-Mistura;194,6743;195;0,3257;-0,17%;VERDE
11/09/2025;07:17:43;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
11/09/2025;06:11:18;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;Pré-Mistura;Pré-Mistura;219,63254;195;24,63254;12,63%;PRETO
11/09/2025;06:10:42;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Pré-Mistura;Pré-Mistura;196,0439;196;0,0439;0,02%;VERDE
10/09/2025;17:21:41;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;11;;Pré-Mistura;Pré-Mistura;78,16949;77;1,16949;1,52%;VERDE
10/09/2025;16:30:10;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;Pré-Mistura;Pré-Mistura;198,05355;198,05355;0;0,00%;VERDE
10/09/2025;16:28:42;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;10;;Pré-Mistura;Pré-Mistura;389,96733;394;4,03267;-1,02%;VERDE
10/09/2025;15:39:24;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
10/09/2025;14:37:13;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
10/09/2025;13:55:29;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
10/09/2025;10:48:01;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
10/09/2025;09:52:43;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
10/09/2025;09:09:55;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;Pré-Mistura;Pré-Mistura;405,888;405,888;0;0,00%;VERDE
10/09/2025;08:59:27;FERNANDO;;SILOKING;RECRIA FEMEA 08/08/2025;2;;Pré-Mistura;Pré-Mistura;144,79804;149;4,20196;-2,82%;VERDE
10/09/2025;08:09:08;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;Pré-Mistura;Pré-Mistura;407,22918;412;4,77082;-1,16%;VERDE
10/09/2025;07:15:17;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
10/09/2025;06:14:35;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Pré-Mistura;Pré-Mistura;327,19646;327;0,19646;0,06%;VERDE
10/09/2025;06:13:12;FERNANDO;;SILOKING;RECRIA FEMEA 08/08/2025;1;;Pré-Mistura;Pré-Mistura;275,4825;220;55,4825;25,22%;PRETO
09/09/2025;17:55:10;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Pré-Mistura;Pré-Mistura;306,8552;306;0,8552;0,28%;VERDE
09/09/2025;17:49:08;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;10;;Pré-Mistura;Pré-Mistura;1,89666;22;20,10334;-91,38%;PRETO
09/09/2025;17:08:55;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
09/09/2025;16:57:29;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;9;;Pré-Mistura;Pré-Mistura;220,386;220;0,386;0,18%;VERDE
09/09/2025;16:33:49;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;Pré-Mistura;Pré-Mistura;270,11846;270;0,11846;0,04%;VERDE
09/09/2025;15:38:16;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
09/09/2025;14:36:47;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
09/09/2025;13:49:17;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Pré-Mistura;Pré-Mistura;412,232;412;0,232;0,06%;VERDE
09/09/2025;11:23:27;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;3;;Pré-Mistura;Pré-Mistura;405,888;405,888;0;0,00%;VERDE
09/09/2025;11:14:05;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;6;;Pré-Mistura;Pré-Mistura;220,386;220;0,386;0,18%;VERDE
09/09/2025;10:35:08;RUBEN VIERA;;SILOKING;CRECIMIENTO SORGO.19/08/2025;5;;Pré-Mistura;Pré-Mistura;299,16837;309;9,83163;-3,18%;AMARELO
09/09/2025;09:57:55;RUBEN VIERA;;SILOKING;CRECIMIENTO SORGO.19/08/2025;4;;Pré-Mistura;Pré-Mistura;314,17682;309;5,17682;1,68%;VERDE
09/09/2025;09:18:57;RUBEN VIERA;;SILOKING;TERMINACION SORGO-19/08/2025;3;;Pré-Mistura;Pré-Mistura;262,71101;263;0,28899;-0,11%;VERDE
09/09/2025;08:32:36;RUBEN VIERA;;SILOKING;TERMINACION SORGO-19/08/2025;2;;Pré-Mistura;Pré-Mistura;294,43515;305;10,56485;-3,46%;AMARELO
09/09/2025;07:20:31;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Pré-Mistura;Pré-Mistura;422,23763;412;10,23763;2,49%;VERDE
09/09/2025;06:20:33;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Pré-Mistura;Pré-Mistura;405,888;405;0,888;0,22%;VERDE
09/09/2025;06:19:32;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;Pré-Mistura;Pré-Mistura;198,71471;199;0,28529;-0,14%;VERDE
08/09/2025;18:00:23;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;13;;Pré-Mistura;Pré-Mistura;45,93963;46;0,06038;-0,13%;VERDE
08/09/2025;17:11:08;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;12;;Pré-Mistura;Pré-Mistura;437;437;0;0,00%;VERDE
08/09/2025;16:37:58;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;11;;Pré-Mistura;Pré-Mistura;364,93738;360;4,93738;1,37%;VERDE
08/09/2025;15:54:59;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Pré-Mistura;Pré-Mistura;449,712;449;0,712;0,16%;VERDE
08/09/2025;15:42:49;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;Pré-Mistura;Pré-Mistura;150,33374;151;0,66626;-0,44%;VERDE
08/09/2025;15:08:33;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;9;;Pré-Mistura;Pré-Mistura;437;437;0;0,00%;VERDE
08/09/2025;14:24:28;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Pré-Mistura;Pré-Mistura;454,71993;449;5,71993;1,27%;VERDE
08/09/2025;13:42:49;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;Pré-Mistura;Pré-Mistura;442;437;5;1,14%;VERDE
08/09/2025;10:19:25;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;6;;Pré-Mistura;Pré-Mistura;449,712;449;0,712;0,16%;VERDE
08/09/2025;09:48:47;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;3;;Pré-Mistura;Pré-Mistura;182,26807;182;0,26807;0,15%;VERDE
08/09/2025;09:47:51;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;5;;Pré-Mistura;Pré-Mistura;164,36663;164;0,36663;0,22%;VERDE
08/09/2025;09:03:04;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;Pré-Mistura;Pré-Mistura;437;437;0;0,00%;VERDE
08/09/2025;08:28:31;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;2;;Pré-Mistura;Pré-Mistura;176,92192;177;0,07808;-0,04%;VERDE
08/09/2025;08:10:00;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;Pré-Mistura;Pré-Mistura;449,712;449;0,712;0,16%;VERDE
08/09/2025;07:16:10;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;Pré-Mistura;Pré-Mistura;154,25425;155;0,74575;-0,48%;VERDE
08/09/2025;07:15:08;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Pré-Mistura;Pré-Mistura;449,712;449;0,712;0,16%;VERDE
08/09/2025;06:13:08;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Pré-Mistura;Pré-Mistura;437;437;0;0,00%;VERDE
14/09/2025;16:24:06;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;CAPIASU;Vagão;3.981,00;3.981,00;0;0,00%;VERDE
14/09/2025;16:12:45;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;MAIZ HUMIDO;Vagão;1.466,00;1.466,00;0;0,00%;VERDE
14/09/2025;15:36:49;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Sorgo, silagem;Vagão;3.612,00;3.607,00;5;0,14%;VERDE
14/09/2025;15:26:46;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;MAIZ HUMIDO;Vagão;1.509,00;1.509,00;0;0,00%;VERDE
14/09/2025;15:23:32;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Sorgo, grão úmido silagem;Vagão;1.370,00;1.360,00;10;0,74%;VERDE
14/09/2025;14:54:15;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, silagem;Vagão;4.092,00;4.092,00;0;0,00%;VERDE
14/09/2025;14:43:47;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;MAIZ HUMIDO;Vagão;1.311,00;1.311,00;0;0,00%;VERDE
14/09/2025;14:42:04;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, grão úmido silagem;Vagão;1.115,00;1.115,00;0;0,00%;VERDE
14/09/2025;14:12:11;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;14:00:42;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
14/09/2025;13:57:52;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
14/09/2025;13:30:37;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;13:20:28;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
14/09/2025;13:17:49;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, grão úmido silagem;Vagão;1.303,00;1.298,00;5;0,39%;VERDE
14/09/2025;11:07:53;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;7;;CAPIASU;Vagão;4.224,00;4.224,00;0;0,00%;VERDE
14/09/2025;10:56:31;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;7;;MAIZ HUMIDO;Vagão;1.550,00;1.555,00;-5;-0,32%;VERDE
14/09/2025;10:21:52;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
14/09/2025;10:11:33;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;MAIZ HUMIDO;Vagão;1.774,00;1.769,00;5;0,28%;VERDE
14/09/2025;10:06:52;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, grão úmido silagem;Vagão;1.595,00;1.595,00;0;0,00%;VERDE
14/09/2025;09:43:34;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;09:31:36;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;MAIZ HUMIDO;Vagão;1.516,00;1.526,00;-10;-0,66%;VERDE
14/09/2025;09:27:53;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
14/09/2025;09:04:09;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;08:53:33;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
14/09/2025;08:49:49;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
14/09/2025;08:20:29;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;3;;CAPIASU;Vagão;5.632,00;5.632,00;0;0,00%;VERDE
14/09/2025;08:07:47;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;3;;MAIZ HUMIDO;Vagão;2.074,00;2.074,00;0;0,00%;VERDE
14/09/2025;07:30:36;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
14/09/2025;07:18:58;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;MAIZ HUMIDO;Vagão;1.521,00;1.526,00;-5;-0,33%;VERDE
14/09/2025;07:16:58;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
14/09/2025;06:25:09;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
14/09/2025;06:12:08;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;MAIZ HUMIDO;Vagão;1.764,00;1.769,00;-5;-0,28%;VERDE
14/09/2025;06:08:46;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, grão úmido silagem;Vagão;1.610,00;1.595,00;15;0,94%;VERDE
13/09/2025;17:08:33;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;CAPIASU;Vagão;3.464,00;3.464,00;0;0,00%;VERDE
13/09/2025;16:59:04;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;12;;MAIZ HUMIDO;Vagão;1.280,00;1.275,00;5;0,39%;VERDE
13/09/2025;16:20:32;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Sorgo, silagem;Vagão;3.695,00;3.695,00;0;0,00%;VERDE
13/09/2025;16:08:57;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;MAIZ HUMIDO;Vagão;1.541,00;1.546,00;-5;-0,32%;VERDE
13/09/2025;16:04:40;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;11;;Sorgo, grão úmido silagem;Vagão;1.393,00;1.393,00;0;0,00%;VERDE
