;;;DESVIO DO CARREGAMENTO;;;;;;;;;;;
10/09/2025;14:56:20;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;4;;NUCLEO PASTO;Vagão;150;145;5;3,45%;AMARELO
10/09/2025;14:46:26;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
10/09/2025;14:34:06;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
10/09/2025;14:31:39;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
10/09/2025;14:05:12;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Sorgo, silagem;Vagão;4.758,00;4.763,00;-5;-0,11%;VERDE
10/09/2025;13:52:26;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
10/09/2025;13:50:04;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
10/09/2025;13:46:27;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;Sorgo, moído (nº3);Vagão;2.909,00;2.909,00;0;0,00%;VERDE
10/09/2025;13:33:44;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;UREIA PECUARIA;Vagão;301;296;5;1,69%;VERDE
10/09/2025;13:29:27;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;FARELO DE SOJA;Vagão;2.187,00;2.187,00;0;0,00%;VERDE
10/09/2025;13:24:32;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;Cloreto de sódio (Sal Comum);Vagão;315;315;0;0,00%;VERDE
10/09/2025;13:18:29;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;Fosfato Bicálcico 18;Vagão;143;148;-5;-3,38%;AMARELO
10/09/2025;13:17:06;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;NUCLEO PASTO;Vagão;145;145;0;0,00%;VERDE
10/09/2025;10:56:55;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
10/09/2025;10:45:01;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;MAIZ HUMIDO;Vagão;1.769,00;1.769,00;0;0,00%;VERDE
10/09/2025;10:42:03;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, grão úmido silagem;Vagão;1.595,00;1.595,00;0;0,00%;VERDE
10/09/2025;10:02:27;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
10/09/2025;09:49:15;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;MAIZ HUMIDO;Vagão;1.531,00;1.526,00;5;0,33%;VERDE
10/09/2025;09:46:16;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, grão úmido silagem;Vagão;1.303,00;1.298,00;5;0,39%;VERDE
10/09/2025;09:13:32;FERNANDO;;SILOKING;RECRIA FEMEA 08/08/2025;2;;CAPIASU;Vagão;2.877,00;2.872,00;5;0,17%;VERDE
10/09/2025;09:09:40;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
10/09/2025;08:55:59;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;MAIZ HUMIDO;Vagão;1.764,00;1.769,00;-5;-0,28%;VERDE
10/09/2025;08:53:07;FERNANDO;;SILOKING;RECRIA FEMEA 08/08/2025;2;;MAIZ HUMIDO;Vagão;1.057,00;1.057,00;0;0,00%;VERDE
10/09/2025;08:51:13;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;Sorgo, grão úmido silagem;Vagão;1.600,00;1.595,00;5;0,31%;VERDE
10/09/2025;08:17:14;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;Sorgo, silagem;Vagão;4.768,00;4.763,00;5;0,11%;VERDE
10/09/2025;08:06:13;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
10/09/2025;08:03:12;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
10/09/2025;07:24:37;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
10/09/2025;07:12:04;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
10/09/2025;07:09:24;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
10/09/2025;06:28:45;FERNANDO;;SILOKING;RECRIA FEMEA 08/08/2025;1;;CAPIASU;Vagão;4.224,00;4.224,00;0;0,00%;VERDE
10/09/2025;06:22:38;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, silagem;Vagão;3.410,00;3.410,00;0;0,00%;VERDE
10/09/2025;06:10:30;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;MAIZ HUMIDO;Vagão;1.426,00;1.426,00;0;0,00%;VERDE
10/09/2025;06:08:10;FERNANDO;;SILOKING;RECRIA FEMEA 08/08/2025;1;;MAIZ HUMIDO;Vagão;1.550,00;1.555,00;-5;-0,32%;VERDE
10/09/2025;06:04:39;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, grão úmido silagem;Vagão;1.296,00;1.286,00;10;0,78%;VERDE
09/09/2025;18:04:30;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;10;;CAPIASU;Vagão;405;400;5;1,25%;VERDE
09/09/2025;18:02:11;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, silagem;Vagão;3.546,00;3.546,00;0;0,00%;VERDE
09/09/2025;17:52:15;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;MAIZ HUMIDO;Vagão;1.136,00;1.136,00;0;0,00%;VERDE
09/09/2025;17:51:13;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;10;;MAIZ HUMIDO;Vagão;147;147;0;0,00%;VERDE
09/09/2025;17:49:30;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, grão úmido silagem;Vagão;966;966;0;0,00%;VERDE
09/09/2025;17:16:26;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
09/09/2025;17:06:05;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
09/09/2025;17:03:20;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
09/09/2025;17:00:59;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;9;;MAIZ HUMIDO;Vagão;1.555,00;1.555,00;0;0,00%;VERDE
09/09/2025;16:51:50;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;9;;CAPIASU;Vagão;4.224,00;4.224,00;0;0,00%;VERDE
09/09/2025;16:40:58;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;Sorgo, silagem;Vagão;2.815,00;2.815,00;0;0,00%;VERDE
09/09/2025;16:30:52;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;MAIZ HUMIDO;Vagão;1.173,00;1.178,00;-5;-0,42%;VERDE
09/09/2025;16:27:13;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;Sorgo, grão úmido silagem;Vagão;1.061,00;1.061,00;0;0,00%;VERDE
09/09/2025;16:23:52;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;8;;FARELO DE SOJA;Vagão;4.512,00;4.512,00;0;0,00%;VERDE
09/09/2025;16:14:44;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;8;;UREIA PECUARIA;Vagão;578;578;0;0,00%;VERDE
09/09/2025;15:46:16;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, silagem;Vagão;4.305,00;4.230,00;75;1,77%;VERDE
09/09/2025;15:35:04;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;MAIZ HUMIDO;Vagão;1.769,00;1.769,00;0;0,00%;VERDE
09/09/2025;15:31:52;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, grão úmido silagem;Vagão;1.595,00;1.595,00;0;0,00%;VERDE
09/09/2025;15:27:36;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;8;;NUCLEO CONFINAMIENTO;Vagão;494;494;0;0,00%;VERDE
09/09/2025;15:17:49;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;8;;CALCAREO;Vagão;416;416;0;0,00%;VERDE
09/09/2025;14:55:17;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;7;;Sorgo, moído (nº3);Vagão;2.914,00;2.909,00;5;0,17%;VERDE
09/09/2025;14:46:47;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
09/09/2025;14:33:50;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;MAIZ HUMIDO;Vagão;1.521,00;1.526,00;-5;-0,33%;VERDE
09/09/2025;14:30:58;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
09/09/2025;14:22:20;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;7;;FARELO DE SOJA;Vagão;2.187,00;2.187,00;0;0,00%;VERDE
09/09/2025;14:15:57;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;7;;UREIA PECUARIA;Vagão;316;296;20;6,76%;VERMELHO
09/09/2025;14:10:16;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;7;;Cloreto de sódio (Sal Comum);Vagão;315;315;0;0,00%;VERDE
09/09/2025;14:01:31;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;7;;Fosfato Bicálcico 18;Vagão;148;148;0;0,00%;VERDE
09/09/2025;13:59:35;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;7;;NUCLEO PASTO;Vagão;140;145;-5;-3,45%;AMARELO
09/09/2025;13:58:25;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, silagem;Vagão;4.768,00;4.763,00;5;0,11%;VERDE
09/09/2025;13:46:09;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
09/09/2025;13:42:59;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
09/09/2025;11:27:45;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;6;;CAPIASU;Vagão;4.219,00;4.224,00;-5;-0,12%;VERDE
09/09/2025;11:23:10;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;3;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
09/09/2025;11:09:56;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;6;;MAIZ HUMIDO;Vagão;1.555,00;1.555,00;0;0,00%;VERDE
09/09/2025;11:05:43;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;3;;MAIZ HUMIDO;Vagão;1.769,00;1.769,00;0;0,00%;VERDE
09/09/2025;11:02:40;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;3;;Sorgo, grão úmido silagem;Vagão;1.610,00;1.595,00;15;0,94%;VERDE
09/09/2025;10:42:21;RUBEN VIERA;;SILOKING;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, silagem;Vagão;3.572,00;3.572,00;0;0,00%;VERDE
09/09/2025;10:32:19;RUBEN VIERA;;SILOKING;CRECIMIENTO SORGO.19/08/2025;5;;MAIZ HUMIDO;Vagão;1.145,00;1.145,00;0;0,00%;VERDE
09/09/2025;10:30:40;RUBEN VIERA;;SILOKING;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, grão úmido silagem;Vagão;964;974;-10;-1,03%;VERDE
09/09/2025;10:04:42;RUBEN VIERA;;SILOKING;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, silagem;Vagão;3.572,00;3.572,00;0;0,00%;VERDE
09/09/2025;09:54:37;RUBEN VIERA;;SILOKING;CRECIMIENTO SORGO.19/08/2025;4;;MAIZ HUMIDO;Vagão;1.150,00;1.145,00;5;0,44%;VERDE
09/09/2025;09:52:08;RUBEN VIERA;;SILOKING;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, grão úmido silagem;Vagão;974;974;0;0,00%;VERDE
09/09/2025;09:25:36;RUBEN VIERA;;SILOKING;TERMINACION SORGO-19/08/2025;3;;Sorgo, silagem;Vagão;2.748,00;2.738,00;10;0,37%;VERDE
09/09/2025;09:15:25;RUBEN VIERA;;SILOKING;TERMINACION SORGO-19/08/2025;3;;MAIZ HUMIDO;Vagão;1.150,00;1.145,00;5;0,44%;VERDE
09/09/2025;09:13:29;RUBEN VIERA;;SILOKING;TERMINACION SORGO-19/08/2025;3;;Sorgo, grão úmido silagem;Vagão;1.032,00;1.032,00;0;0,00%;VERDE
09/09/2025;08:38:32;RUBEN VIERA;;SILOKING;TERMINACION SORGO-19/08/2025;2;;Sorgo, silagem;Vagão;3.173,00;3.173,00;0;0,00%;VERDE
09/09/2025;08:29:03;RUBEN VIERA;;SILOKING;TERMINACION SORGO-19/08/2025;2;;MAIZ HUMIDO;Vagão;1.327,00;1.327,00;0;0,00%;VERDE
09/09/2025;08:26:29;RUBEN VIERA;;SILOKING;TERMINACION SORGO-19/08/2025;2;;Sorgo, grão úmido silagem;Vagão;1.196,00;1.196,00;0;0,00%;VERDE
09/09/2025;07:32:20;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
09/09/2025;07:17:50;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
09/09/2025;07:14:50;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
09/09/2025;06:34:01;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;CAPIASU;Vagão;3.809,00;3.809,00;0;0,00%;VERDE
09/09/2025;06:29:18;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
09/09/2025;06:16:15;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;MAIZ HUMIDO;Vagão;1.769,00;1.769,00;0;0,00%;VERDE
09/09/2025;06:13:21;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;MAIZ HUMIDO;Vagão;1.397,00;1.402,00;-5;-0,36%;VERDE
09/09/2025;06:09:38;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, grão úmido silagem;Vagão;1.595,00;1.595,00;0;0,00%;VERDE
08/09/2025;18:06:05;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;13;;Sorgo, silagem;Vagão;405;405;0;0,00%;VERDE
08/09/2025;17:57:41;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;13;;MAIZ HUMIDO;Vagão;200;200;0;0,00%;VERDE
08/09/2025;17:56:07;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;13;;Sorgo, grão úmido silagem;Vagão;185;190;-5;-2,63%;VERDE
08/09/2025;17:19:35;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;12;;Sorgo, silagem;Vagão;3.854,00;3.854,00;0;0,00%;VERDE
08/09/2025;17:08:13;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;12;;MAIZ HUMIDO;Vagão;1.905,00;1.905,00;0;0,00%;VERDE
08/09/2025;17:05:36;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;12;;Sorgo, grão úmido silagem;Vagão;1.804,00;1.804,00;0;0,00%;VERDE
08/09/2025;16:44:53;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;11;;Sorgo, silagem;Vagão;3.519,00;3.519,00;0;0,00%;VERDE
08/09/2025;16:34:25;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;11;;MAIZ HUMIDO;Vagão;1.333,00;1.333,00;0;0,00%;VERDE
08/09/2025;16:31:34;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;11;;Sorgo, grão úmido silagem;Vagão;1.191,00;1.191,00;0;0,00%;VERDE
08/09/2025;16:04:39;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, silagem;Vagão;4.397,00;4.397,00;0;0,00%;VERDE
08/09/2025;15:52:11;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;MAIZ HUMIDO;Vagão;1.665,00;1.665,00;0;0,00%;VERDE
08/09/2025;15:49:25;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, grão úmido silagem;Vagão;1.483,00;1.488,00;-5;-0,34%;VERDE
08/09/2025;15:45:47;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;MAIZ HUMIDO;Vagão;1.056,00;1.061,00;-5;-0,47%;VERDE
08/09/2025;15:37:27;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;CAPIASU;Vagão;3.002,00;3.007,00;-5;-0,17%;VERDE
08/09/2025;15:15:47;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;9;;Sorgo, silagem;Vagão;3.854,00;3.854,00;0;0,00%;VERDE
08/09/2025;15:04:44;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;9;;MAIZ HUMIDO;Vagão;1.905,00;1.905,00;0;0,00%;VERDE
08/09/2025;15:01:56;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;9;;Sorgo, grão úmido silagem;Vagão;1.834,00;1.804,00;30;1,66%;VERDE
08/09/2025;14:58:42;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;FARELO DE SOJA;Vagão;4.517,00;4.512,00;5;0,11%;VERDE
08/09/2025;14:49:56;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;NUCLEO CONFINAMIENTO;Vagão;504;494;10;2,02%;VERDE
08/09/2025;14:45:01;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;UREIA PECUARIA;Vagão;583;578;5;0,87%;VERDE
08/09/2025;14:31:47;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, silagem;Vagão;4.387,00;4.397,00;-10;-0,23%;VERDE
08/09/2025;14:21:52;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;MAIZ HUMIDO;Vagão;1.665,00;1.665,00;0;0,00%;VERDE
08/09/2025;14:19:23;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, grão úmido silagem;Vagão;1.483,00;1.488,00;-5;-0,34%;VERDE
08/09/2025;14:19:19;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;CALCAREO;Vagão;416;416;0;0,00%;VERDE
08/09/2025;13:51:13;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;Sorgo, silagem;Vagão;3.889,00;3.854,00;35;0,91%;VERDE
08/09/2025;13:40:07;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;MAIZ HUMIDO;Vagão;1.905,00;1.905,00;0;0,00%;VERDE
08/09/2025;13:37:37;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;Sorgo, grão úmido silagem;Vagão;1.804,00;1.804,00;0;0,00%;VERDE
08/09/2025;10:27:01;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;6;;Sorgo, silagem;Vagão;4.402,00;4.397,00;5;0,11%;VERDE
08/09/2025;10:16:22;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;6;;MAIZ HUMIDO;Vagão;1.660,00;1.665,00;-5;-0,30%;VERDE
08/09/2025;10:13:36;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;6;;Sorgo, grão úmido silagem;Vagão;1.493,00;1.488,00;5;0,34%;VERDE
08/09/2025;10:10:56;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;3;;MAIZ HUMIDO;Vagão;1.276,00;1.286,00;-10;-0,78%;VERDE
08/09/2025;10:03:23;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;3;;CAPIASU;Vagão;3.645,00;3.645,00;0;0,00%;VERDE
08/09/2025;09:58:55;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;5;;Sorgo, silagem;Vagão;1.449,00;1.449,00;0;0,00%;VERDE
08/09/2025;09:45:00;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;5;;MAIZ HUMIDO;Vagão;717;717;0;0,00%;VERDE
08/09/2025;09:42:55;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;5;;Sorgo, grão úmido silagem;Vagão;694;679;15;2,21%;VERDE
08/09/2025;09:10:43;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;Sorgo, silagem;Vagão;3.854,00;3.854,00;0;0,00%;VERDE
08/09/2025;08:59:54;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;MAIZ HUMIDO;Vagão;1.900,00;1.905,00;-5;-0,26%;VERDE
08/09/2025;08:56:28;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;Sorgo, grão úmido silagem;Vagão;1.804,00;1.804,00;0;0,00%;VERDE
08/09/2025;08:36:25;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;2;;CAPIASU;Vagão;3.548,00;3.538,00;10;0,28%;VERDE
08/09/2025;08:25:42;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;2;;MAIZ HUMIDO;Vagão;1.244,00;1.249,00;-5;-0,40%;VERDE
08/09/2025;08:17:30;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;Sorgo, grão úmido silagem;Vagão;1.488,00;1.488,00;0;0,00%;VERDE
08/09/2025;08:17:07;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;Sorgo, silagem;Vagão;4.407,00;4.397,00;10;0,23%;VERDE
08/09/2025;08:06:30;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;MAIZ HUMIDO;Vagão;1.665,00;1.665,00;0;0,00%;VERDE
08/09/2025;07:28:03;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;CAPIASU;Vagão;3.085,00;3.085,00;0;0,00%;VERDE
08/09/2025;07:23:11;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, grão úmido silagem;Vagão;1.488,00;1.488,00;0;0,00%;VERDE
08/09/2025;07:22:57;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, silagem;Vagão;4.397,00;4.397,00;0;0,00%;VERDE
08/09/2025;07:11:11;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;MAIZ HUMIDO;Vagão;1.089,00;1.089,00;0;0,00%;VERDE
08/09/2025;07:09:16;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;MAIZ HUMIDO;Vagão;1.665,00;1.665,00;0;0,00%;VERDE
08/09/2025;06:22:45;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, silagem;Vagão;3.854,00;3.854,00;0;0,00%;VERDE
08/09/2025;06:09:28;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;MAIZ HUMIDO;Vagão;1.905,00;1.905,00;0;0,00%;VERDE
08/09/2025;06:05:10;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, grão úmido silagem;Vagão;1.804,00;1.804,00;0;0,00%;VERDE
Total: 425; ; ;; ; ; ;; ; ; ; ; ; ; 
jan/15;;;;;;;;;;;;;;
